iter	Passed	Remaining
0	29	29432
1	57	28651
2	81	27223
3	109	27376
4	136	27089
5	164	27236
6	191	27122
7	217	27021
8	246	27146
9	276	27363
10	301	27147
11	327	26937
12	351	26656
13	376	26535
14	403	26467
15	427	26278
16	454	26286
17	478	26111
18	504	26063
19	530	26010
20	556	25922
21	580	25816
22	608	25842
23	635	25832
24	660	25763
25	685	25695
26	710	25598
27	734	25498
28	762	25527
29	787	25469
30	811	25375
31	836	25311
32	862	25284
33	889	25272
34	918	25336
35	954	25556
36	984	25635
37	1019	25800
38	1054	25973
39	1080	25942
40	1106	25883
41	1133	25847
42	1184	26362
43	1237	26885
44	1273	27019
45	1318	27334
46	1345	27284
47	1373	27238
48	1401	27191
49	1426	27112
50	1453	27048
51	1483	27037
52	1509	26967
53	1534	26878
54	1562	26838
55	1589	26791
56	1620	26805
57	1652	26836
58	1679	26792
59	1707	26754
60	1733	26686
61	1758	26601
62	1783	26533
63	1812	26503
64	1839	26454
65	1865	26404
66	1891	26341
67	1917	26280
68	1950	26314
69	1983	26348
70	2024	26489
71	2058	26532
72	2093	26589
73	2120	26537
74	2147	26491
75	2175	26452
76	2205	26431
77	2232	26387
78	2262	26379
79	2289	26331
80	2316	26281
81	2346	26267
82	2380	26302
83	2418	26369
84	2452	26402
85	2482	26387
86	2510	26344
87	2536	26285
88	2562	26232
89	2593	26227
90	2622	26193
91	2648	26139
92	2675	26098
93	2701	26033
94	2728	25994
95	2756	25954
96	2784	25925
97	2811	25877
98	2843	25874
99	2872	25852
100	2900	25820
101	2927	25774
102	2954	25729
103	2981	25682
104	3007	25639
105	3039	25634
106	3065	25584
107	3093	25547
108	3120	25505
109	3146	25455
110	3173	25419
111	3197	25353
112	3220	25279
113	3245	25221
114	3268	25156
115	3290	25079
116	3317	25035
117	3340	24968
118	3364	24908
119	3387	24839
120	3412	24791
121	3436	24730
122	3463	24691
123	3486	24630
124	3511	24580
125	3535	24522
126	3560	24472
127	3583	24412
128	3607	24358
129	3633	24313
130	3656	24253
131	3680	24201
132	3703	24143
133	3732	24123
134	3760	24097
135	3787	24062
136	3814	24025
137	3838	23978
138	3864	23937
139	3890	23899
140	3916	23862
141	3941	23815
142	3963	23754
143	3988	23708
144	4011	23655
145	4036	23610
146	4061	23570
147	4085	23521
148	4110	23475
149	4136	23442
150	4162	23402
151	4187	23362
152	4212	23322
153	4237	23278
154	4260	23224
155	4284	23178
156	4306	23125
157	4330	23079
158	4356	23041
159	4378	22989
160	4401	22937
161	4428	22907
162	4454	22873
163	4481	22844
164	4507	22811
165	4532	22772
166	4554	22719
167	4579	22678
168	4606	22649
169	4639	22652
170	4671	22645
171	4700	22628
172	4723	22579
173	4748	22542
174	4776	22517
175	4806	22504
176	4840	22507
177	4885	22561
178	4959	22745
179	5001	22786
180	5035	22784
181	5070	22787
182	5107	22802
183	5142	22807
184	5178	22811
185	5226	22872
186	5277	22946
187	5332	23031
188	5374	23062
189	5409	23062
190	5445	23064
191	5483	23074
192	5521	23087
193	5552	23070
194	5579	23031
195	5604	22988
196	5626	22936
197	5651	22892
198	5676	22847
199	5701	22807
200	5727	22766
201	5757	22743
202	5785	22714
203	5810	22670
204	5834	22628
205	5859	22585
206	5884	22544
207	5908	22496
208	5932	22451
209	5956	22406
210	5979	22357
211	6002	22310
212	6027	22269
213	6051	22226
214	6076	22186
215	6100	22143
216	6125	22102
217	6150	22064
218	6174	22018
219	6196	21971
220	6220	21926
221	6246	21890
222	6271	21851
223	6296	21814
224	6320	21769
225	6346	21733
226	6370	21693
227	6395	21654
228	6417	21607
229	6441	21564
230	6462	21513
231	6485	21467
232	6511	21433
233	6535	21393
234	6563	21366
235	6587	21326
236	6611	21283
237	6633	21237
238	6661	21212
239	6684	21167
240	6707	21125
241	6730	21080
242	6753	21038
243	6775	20994
244	6801	20959
245	6826	20923
246	6852	20890
247	6876	20851
248	6900	20812
249	6924	20773
250	6948	20735
251	6969	20686
252	6991	20641
253	7014	20602
254	7036	20557
255	7057	20509
256	7078	20465
257	7102	20427
258	7127	20391
259	7151	20353
260	7175	20317
261	7202	20286
262	7228	20255
263	7250	20212
264	7274	20176
265	7302	20149
266	7324	20107
267	7347	20067
268	7368	20023
269	7389	19979
270	7412	19940
271	7437	19905
272	7459	19863
273	7481	19822
274	7503	19781
275	7525	19739
276	7547	19699
277	7570	19662
278	7594	19626
